doc_name,doc_data
"DECRET EXECUTIF n° 18-170 — fixant les missions, l'organisation et le fonctionnement de l'agence de développement de la PME et de la promotion de l'innovation.",2018-06-26
DÉCRET EXÉCUTIF n° 19-371 — modifiant la répartition par secteur des dépenses d'équipement de l'Etat pour 2019.,2019-12-31
DÉCRET EXÉCUTIF n° 19-372 — modifiant la répartition par secteur des dépenses d'équipement de l'Etat pour 2019.,2019-12-31
"DÉCRET EXÉCUTIF n° 19-373 — portant virement de crédits au sein du budget de fonctionnement du ministère de l'intérieur, des collectivités locales et de l'aménagement du territoire.",2019-12-31
DÉCRET EXÉCUTIF n° 19-374 — portant virement de crédits au sein du budget de fonctionnement du ministère de la formation et de l'enseignement professionnels.,2019-12-31
DÉCRET EXÉCUTIF n° 19-375 — portant virement de crédits au sein du budget de fonctionnement du ministère de la jeunesse et des sports.,2019-12-31
"DÉCRET EXÉCUTIF n° 19-376 — portant virement de crédits au sein du budget de fonctionnement du ministère de l'habitat, de l'urbanisme et de la ville.",2019-12-31
DÉCRET EXÉCUTIF n° 19-377 — portant virement de crédits au sein du budget de fonctionnement du ministère du tourisme et de l'artisanat.,2019-12-31
DÉCRET EXÉCUTIF n° 19-378 — portant réaménagement du statut de l'agence nationale des loisirs de la jeunesse.,2019-12-31
"DÉCRET PRÉSIDENTIEL du 2 Joumada El Oula 1441 — portant nomination du ministre conseiller à la communication, porte parole officiel de la Présidence de la République.",2019-12-29
DÉCRET PRÉSIDENTIEL du 27 Rabie Ethani 1441 — mettant fin aux fonctions du directeur général du protocole à la Présidence de la République.,2019-12-24
DÉCRET PRÉSIDENTIEL du 27 Rabie Ethani 1441 — mettant fin aux fonctions du directeur de l'accueil et des résidences officielles à la Présidence de la République.,2019-12-24
DÉCRET PRÉSIDENTIEL du 2 Joumada El Oula 1441 — mettant fin aux fonctions du directeur de cabinet du Premier ministre.,2019-12-29
DÉCRET PRÉSIDENTIEL du 2 Joumada El Oula 1441 — mettant fin aux fonctions du chef de cabinet du Premier ministre.,2019-12-29
DÉCRET PRÉSIDENTIEL du 2 Joumada El Oula 1441 — mettant fin aux fonctions d'un directeur d'études aux services du Premier ministre.,2019-12-29
DÉCRET PRÉSIDENTIEL du 13 Rabie Ethani 1441 — mettant fin aux fonctions de directeurs à la direction générale de la protection civile.,2019-12-10
DÉCRET PRÉSIDENTIEL du 13 Rabie Ethani 1441 — mettant fin aux fonctions du directeur de la protection civile à la wilaya de Bouira.,2019-12-10
DÉCRETS PRÉSIDENTIELS du 13 Rabie Ethani 1441 — mettant fin aux fonctions de directeurs de l'action sociale et de la solidarité de wilayas.,2019-12-10
"DÉCRET PRÉSIDENTIEL du 13 Rabie Ethani 1441 — mettant fin aux fonctions du directeur délégué à l'action sociale à la circonscription administrative de In Guezzam, wilaya de Tamenghasset.",2019-12-10
DÉCRET PRÉSIDENTIEL du 13 Rabie Ethani 1441 — mettant fin aux fonctions d'un sous-directeur à la direction générale des forêts.,2019-12-10
